title,Patent_Category,center
Hybrid Power Management (HPM) Upgrade,Physical Sciences,NASA Glenn Research Center
Unitized Regenerative Fuel Cell System,Physical Sciences,NASA Glenn Research Center
Large Area Permanent Magnet ECR Plasma Source,Biological Sciences,NASA Glenn Research Center
Slotted Antenna Rectangular Waveguide Plasma Source For Ion Beam And Electron Beam Production,Chemical Sciences,NASA Glenn Research Center
New Ion Conducting Organic/Inorganic Hybrid Polymers,Chemical Sciences,NASA Glenn Research Center
A Method Of Improving The Thermo-Mechanical Properties Of Fiber-Reinforced Silicon Carbide Matrix Composites,Chemical Sciences,NASA Glenn Research Center
Skin Modified Aerogel Monoliths For Improved Ruggedness And Lower Hydrophylicity,Materials,NASA Glenn Research Center
High Tg Polyimides For Resin Transfer Molding (RTM),Chemical Sciences,NASA Glenn Research Center
Solvent-Free Low Melt Viscosity Imide Oligomers and Thermosetting Polyimide Composites,Chemical Sciences,NASA Glenn Research Center
High Tg Polyimides For Resin Transfer Molding (RTM),Chemical Sciences,NASA Glenn Research Center
Bi-Electrode Supported Cell For High Power Density Solid Oxide Fuel Cells,Chemical Sciences,NASA Glenn Research Center
Solid Oxide Fuel Cell Stack Design With Bi-Electrode Supported Cells,Chemical Sciences,NASA Glenn Research Center
Solid Oxide Fuel Cell Stack Design With Bi-Electrode Supported Cells,Chemical Sciences,NASA Glenn Research Center
Energetic Atomic And Ionic Oxygen Textured Optical Surfaces For Blood Glucose Monitoring,Chemical Sciences,NASA Glenn Research Center
Energetic Atomic And Ionic Oxygen Textured Optical Surfaces For Blood Glucose Monitoring,Chemical Sciences,NASA Glenn Research Center
Method of Fabricating Silicon Carbide Corrugated Diaphragms and Modular Actuator,Mechanics,NASA Glenn Research Center
Elimination Of Lifetime Limiting Mechanism Of Hall Thrusters,Chemical Sciences,NASA Glenn Research Center
Very Large Area/Volume Microwave ECR  Plasma And Ion Source,Chemical Sciences,NASA Glenn Research Center
Low Density High Creep Resistant Single Crystal Superalloy For Turbine Airfoils,Materials,NASA Glenn Research Center
Magnetic Circuit For Hall Effect Plasma Accelerator,Biological Sciences,NASA Glenn Research Center
Carrier Structure For Packaging Microphotonic Millimeter-Wave Receiver Based On Lithium Niobate Electro-Optic Resonator Disk Technology,Chemical Sciences,NASA Glenn Research Center
Cathode Luminescence Light Source For Broad Band Application In The Visible,Chemical Sciences,NASA Glenn Research Center
Side Sliding Microactuator,Mechanics,NASA Glenn Research Center
Fully-Premixed Low-Emissions High-Pressure Multi-fuel Burner,Chemical Sciences,NASA Glenn Research Center
Multi-wavelength Time-coincident Optical Communications System,Chemical Sciences,NASA Glenn Research Center
Method For Ultraminiature Fiber Light Source,Physical Sciences,NASA Glenn Research Center
Method For Ultraminiature Fiber Light Source,Physical Sciences,NASA Glenn Research Center
Zero G Condensing Heat Exchanger With Integral Disinfection,Chemical Sciences,NASA Glenn Research Center
Method And System For Fiber Optic Determination Of Nitrogen And Oxygen Concentrations In Ullage Of Liquid Fuel Tanks,Chemical Sciences,NASA Glenn Research Center
Miniaturized Metal (Metal Alloy)/PdOx/SiC Schottky Diode Gas Sensors For Hydrogen And Hydrocarbons Detection At High Temperatures,Sensors,NASA Glenn Research Center
Miniaturized Metal (Metal Alloy) PdOx/Sic Hydrogen And Hydrocarbon Gas Sensors,Sensors,NASA Glenn Research Center
Antenna Near-Field Probe Station Scanner,Chemical Sciences,NASA Glenn Research Center
Antenna Near-Field Probe Station Scanner,Chemical Sciences,NASA Glenn Research Center
Syntheis Of Asymmetric Dianhydrides,Chemical Sciences,NASA Glenn Research Center
Synthesis Of Asymmetrical Benzophenone Dianhydride And Asymmetrical 6F-Dianhydride And Polyimides Therefrom (ALSO See LEW 18236-1),Chemical Sciences,NASA Glenn Research Center
Secure Optical Communications Using Quantum Two-Photon Transparency Modulation Spectroscopy,Chemical Sciences,NASA Glenn Research Center
Miniature Amperometric Solid Electrolyte Carbon Dioxide Sensor,Sensors,NASA Glenn Research Center
Miniature Amperometric Solid Electrolyte Carbon Dioxide Sensor,Sensors,NASA Glenn Research Center
Portable Unit For Metabolic Analysis PUMA,Biological Sciences,NASA Glenn Research Center
Manufacture Of Porous Net-Shaped Materials Comprising Alpha Or Beta Tricalcium Phosphate Or Mixtures Thereof,Chemical Sciences,NASA Glenn Research Center
Composite Case Armor,Chemical Sciences,NASA Glenn Research Center
Passive Gas/Liquid Separation Within a Fuel Cell or Electrolysis Cell Using A Conductive Porous Separator,Chemical Sciences,NASA Glenn Research Center
Aluminization And Hyperthermal Atomic Oxygen Texturing Of Polymethylmethacralate Optical Fibers For Blood Glucose Monitoring,Chemical Sciences,NASA Glenn Research Center
Toughened Composite Structures,Chemical Sciences,NASA Glenn Research Center
RF MEMS Switches Utilizing Non-Metallic Thin Film Cantilevers/Bridges With Controlled Stress And Conductivity,Physical Sciences,NASA Glenn Research Center
A Method of Crosslinking Aerogels Using a One-pot Reaction Scheme,Materials,NASA Glenn Research Center
A Method of Crosslinking Aerogels Using a One-pot Reaction Scheme,Materials,NASA Glenn Research Center
Supercharged Two-Cycle Engines Employing Novel Single Element Reciprocating Shuttle Inlet Valve Mechanisms And With A Variable Compression Ratio,Chemical Sciences,NASA Glenn Research Center
Two And Three Dimensional Near Infrared Subcutaneous Structure Imager Using Adaptive Nonlinear Video Processing,Chemical Sciences,NASA Glenn Research Center
Direct Fuel Impingement Planar-Array-Microreactor,Physical Sciences,NASA Glenn Research Center
High Work Output Ni-Ti-Pt High Temperature Shape Memory Alloys And Associated Processing Methods,Mechanics,NASA Glenn Research Center
Fluorescent  On-Off  Chemical Sensors,Sensors,NASA Glenn Research Center
Dust removal from solar cells,Physical Sciences,NASA Glenn Research Center
Dust Removal from Solar Cells,Physical Sciences,NASA Glenn Research Center
Cup Cylindrical Waveguide Antenna,Physical Sciences,NASA Glenn Research Center
In-Flight Fault Accommodation Through Automated Control Parameter Changes,Chemical Sciences,NASA Glenn Research Center
Branched Rod-Coil Polyimide-poly(ethylene Oxide) (PEO) Copolymers That Are Cured In The Solid State At Ambient  Temperatures,Chemical Sciences,NASA Glenn Research Center
Circuit For Communication Over DC Power Line Using High Temperature Electronics,Chemical Sciences,NASA Glenn Research Center
A Method For Thermal Spraying Of Coatings Using Resonant Pulsed Combustion,Chemical Sciences,NASA Glenn Research Center
A Method For Thermal Spraying Of Coatings Using Resonant Pulsed Combustion,Chemical Sciences,NASA Glenn Research Center
Synthesis Of Asymmetrical Benzophenone Dianhydride And Asymmetrical 6F-Dianhydride And Polyimides Therefrom,Chemical Sciences,NASA Glenn Research Center
Synthesis Of Asymmetrical Benzophenone Dianhydride And Asymmetrical 6F-Dianhydride And Polyimides Therefrom,Chemical Sciences,NASA Glenn Research Center
Cellular Reflectarray Antenna,Physical Sciences,NASA Glenn Research Center
Cellular Reflectarray Antenna,Physical Sciences,NASA Glenn Research Center
Low TCR Nanocomposite Strain Gages,Chemical Sciences,NASA Glenn Research Center
Simultaneous Non-Contact Precision Measurement Of Microstructual And Thickness Variation In Dielectric Materials Using Terahertz Energy,Chemical Sciences,NASA Glenn Research Center
Autonomous Wireless Sensor Transceiver,Sensors,NASA Glenn Research Center
An N Channel JFET Based Digital Logic Gate Structure Using Resistive Level Shifters And Having Direct Application To High Temperature Silicon Carbide Electronics,Chemical Sciences,NASA Glenn Research Center
A Software Platform For Post-Processing Waveform-Based NDE,Technology,NASA Glenn Research Center
Adaptive Morphological Feature-Based Object Classifier For A Color Imaging System,Chemical Sciences,NASA Glenn Research Center
Modular Battery Charge Controller,Physical Sciences,NASA Glenn Research Center
A Novel Nanoionics-based Switch For Radiofrequency (RF) Applications,Chemical Sciences,NASA Glenn Research Center
A Novel Nanoionics-based Switch For Radiofrequency (RF) Applications,Chemical Sciences,NASA Glenn Research Center
Semiconductor Metal Oxide Modified Solid Electrolyte Carbon Dioxide Microsensors With Reduced Operation Temperature,Sensors,NASA Glenn Research Center
External Magnetic Field Reduction Techniquie For Advanced Stirling Radioisotope Generator,Chemical Sciences,NASA Glenn Research Center
External Magnetic Field Reduction Techniquie For Advanced Stirling Radioisotope Generator,Chemical Sciences,NASA Glenn Research Center
"Advancd Lightweight, High-Strength Electrochemical Cell Design and Structures",Physical Sciences,NASA Glenn Research Center
Offset Compound Gear Inline Two-Speed Drive,Physical Sciences,NASA Glenn Research Center
Offset Compound Gear Inline Two-Speed Drive,Physical Sciences,NASA Glenn Research Center
"Device for Measuring the Thermal Conductivity of Small, Highly Insulating Materials",Physical Sciences,NASA Glenn Research Center
"Device for Measuring the Thermal Conductivity of Small, Highly Insulating Materials",Physical Sciences,NASA Glenn Research Center
Space Radiation Detector with Spherical Geometry,Chemical Sciences,NASA Glenn Research Center
Space Radiation Detector with Spherical Geometry,Chemical Sciences,NASA Glenn Research Center
A Radio Frequency Tank Eigenmode Sensor For Propellant Quantity Gauging,Sensors,NASA Glenn Research Center
A Free-Jet Dual-Mode Combustor Concept for Wide Operating Range Ramjet Propulsion,Chemical Sciences,NASA Glenn Research Center
A Free-Jet Dual-Mode Combustor Concept for Wide Operating Range Ramjet Propulsion,Chemical Sciences,NASA Glenn Research Center
Addendum of Self-Aligned Ion Implant to Design and Processing of SiC High Temperature Transistors for Durable Operation Above 400 C,Chemical Sciences,NASA Glenn Research Center
Addendum of Self-Aligned Ion Implant to Design and Processing of SiC High Temperature Transistors for Durable Operation Above 400 C,Chemical Sciences,NASA Glenn Research Center
Optimal Tuner Selection For Kalman Filter-Based Aircraft Engine Performance Estimation,Chemical Sciences,NASA Glenn Research Center
Method and Circuit for In-Situ Health Monitoring of Solar Cells in Space,Physical Sciences,NASA Glenn Research Center
Method and Circuit for In-Situ Health Monitoring of Solar Cells in Space,Physical Sciences,NASA Glenn Research Center
Spring Tire,Physical Sciences,NASA Glenn Research Center
Ka-Band Waveguide 2-Way Hybrid Combiner for MMIC Amplifiers With Unequal and Arbitrary Power Output Ratio,Physical Sciences,NASA Glenn Research Center
Selective Clay Placement Within A Silicate Clay-Epoxy Blend Nanocomposite,Chemical Sciences,NASA Glenn Research Center
Ball Bearings Comprising Nickel-Titanium And Methods Of Manufacture Thereof,Physical Sciences,NASA Glenn Research Center
Ball Bearings Comprising Nickel-Titanium And Methods Of Manufacture Thereof,Physical Sciences,NASA Glenn Research Center
Graphene Based Reversible Nano-Switch/Sensor Schottky Diode (nanoSSSD) Device,Sensors,NASA Glenn Research Center
Frame-Transfer Gating (FTG) Raman Spectroscopy for Time-Resolved Multiscalar Combustion Diagnostics,Chemical Sciences,NASA Glenn Research Center
Polyimide Aerogels With Three Dimensional Cross-Linked Structure,Materials,NASA Glenn Research Center
Shape Memory Based Actuators and Release Mechanisms,Mechanics,NASA Glenn Research Center
"Synthesis Methods, Microscopy Characterization and Device Integration of Nanoscale Metal Oxide Semiconductors for Gas Sensing in Aerospace Applications",Semiconductors,NASA Glenn Research Center
Process to Produce Iron Nanoparticles - Lunar Dust Simulant Composite,Materials,NASA Glenn Research Center
Precision Time Protocol Base Trilateration for Planetary Navigation,Chemical Sciences,NASA Glenn Research Center
Hybrid Gear,Physical Sciences,NASA Glenn Research Center
Ohmic Contact to N- and P-type Silicon Carbide,Physical Sciences,NASA Glenn Research Center
Functionalization of Single Wall Carbon Nanotubes (SWCNTs) by Photooxidation,Chemical Sciences,NASA Glenn Research Center
Internal Limit Sensor (ILS),Sensors,NASA Glenn Research Center
NASA PS400: A New High Temperature Solid Lubricant Coating for High Temperature Wear Applications,Chemical Sciences,NASA Glenn Research Center
Catalytic Microtube Rocket Igniter,Sensors,NASA Glenn Research Center
"Low Density, High Creep Resistant Single Crystal Superalloy with Lower Manufacturing Cost",Materials,NASA Glenn Research Center
Shock Sensing Apparatus,Biological Sciences,NASA Glenn Research Center
Integrated Exciter/Igniter,Sensors,NASA Glenn Research Center
Thermomechanical Methodology for Stabilizing Shape Memory Alloy (SMA) Response,Mechanics,NASA Glenn Research Center
Thermomechanical Methodology for Stabilizing Shape Memory Alloy (SMA) Response,Mechanics,NASA Glenn Research Center
Inductive Power Device (IDP),Physical Sciences,NASA Glenn Research Center
"Shock Resistant, Debris Tolerant, Lightweight, Corrosion Proof Bearings, Mechanical Components and Mechanisms Made From Hard, Highly Elastic Materials",Chemical Sciences,NASA Glenn Research Center
Dual-Mode Hybrid-Engine (DMH-Engine): A Next-Generation Electric Propulsion Thruster,Chemical Sciences,NASA Glenn Research Center
Dual-Mode Hybrid-Engine (DMH-Engine): A Next-Generation Electric Propulsion Thruster,Chemical Sciences,NASA Glenn Research Center
Dual-Mode Hybrid-Engine (DMH-Engine): A Next-Generation Electric Propulsion Thruster,Chemical Sciences,NASA Glenn Research Center
Liquid Tin Electrodes for Directo Conversion of JP-8 Fuel using the NASA BSC Solid Oxide Fuel Cell,Chemical Sciences,NASA Glenn Research Center
High-Temperature Thermometer Using Cr-Doped GdAlO3 Broadband Luminescence,Chemical Sciences,NASA Glenn Research Center
Purify Nanomaterials By Dissolving Excess Reactants And Catalysts In Ferric Chloride,Chemical Sciences,NASA Glenn Research Center
Electrospray Collection of Lunar Dust,Chemical Sciences,NASA Glenn Research Center
Circuit for Communication Over Power Lines,Chemical Sciences,NASA Glenn Research Center
Method For Fabricating Diamond-Dispersed Fiber-Reinforced Composite Coating On Low Temperature Sliding Thrust Bearing Interfaces,Chemical Sciences,NASA Glenn Research Center
Multi-Parameter Aerosol Scattering Sensor,Sensors,NASA Glenn Research Center
A Source Coupled N Channel JFET Based Digital Logic Gate Structure Using Resistive Level Shifters and Having Direct Application to High Temperature Silicon Carbide Electronics,Chemical Sciences,NASA Glenn Research Center
Atomic Oxygen Fluence Monitor,Chemical Sciences,NASA Glenn Research Center
Ultracapacitor Based Uninterruptible Power Supply (UPS) System,Physical Sciences,NASA Glenn Research Center
Polarization Dependent Whispering Gallery Modes in Microspheres,Chemical Sciences,NASA Glenn Research Center
Levitated Ducted Fan (LDF) Aircraft Auxiliary Generator,Physical Sciences,NASA Glenn Research Center
Polymer Electrolyte Based Ambient Temperature Oxygen Microsensors with Extremely Low Power Consumption for Enviromental Monitoring Applications,Sensors,NASA Glenn Research Center
Robonaut Teleoperation System,Chemical Sciences,NASA Johnson Space Center
Process and Apparatus for Hydrogen and Carbon Production via Carbon Aerosol-Catalyzed Dissociation of Hydrocarbons,Chemical Sciences,NASA Glenn Research Center
Method For Zero Emission Liquid Hydrogen Production From Methane & Landfill Gas,Chemical Sciences,NASA Glenn Research Center
Process For Hydrogen Production via Integrated Processing of Landfill Gas and Biomass,Chemical Sciences,NASA Glenn Research Center
Discrete Data Qualification System and Method Comprising Noise Series Fault Detection,Chemical Sciences,NASA Glenn Research Center
A Hybrid Power Management (HPM) Based Vehicle Architecture,Physical Sciences,NASA Glenn Research Center
High Strength Nanocomposite Glass Fibers,Chemical Sciences,NASA Glenn Research Center
"A Novel Wideband GaN MMIC Distributed Amplifier Based Microwave Power Module for Space Communications, Navigation, and Radar",Chemical Sciences,NASA Glenn Research Center
"A Novel Wideband GaN MMIC Distributed Amplifier Based Microwave Power Module for Space Communications, Navigation, and Radar",Chemical Sciences,NASA Glenn Research Center
VESGEN Software for Mapping and Quantification of Vascular Remodeling in Botanical Plant Leaves,Chemical Sciences,NASA Glenn Research Center
"Water Purification by High Voltage,  Nanosecond,  Non-Equilibrium Plasma: Applications to Human Spaceflight and Terrestrial Point-of-Use",Chemical Sciences,NASA Glenn Research Center
Iridium Interfacial Stack (IrIS) Final,Chemical Sciences,NASA Glenn Research Center
Atmospheric Turbulence Modeling for Aero Vehicles,Chemical Sciences,NASA Glenn Research Center
Large Strain Transparent  Magneto-active Polymer Nanocomposites,Chemical Sciences,NASA Glenn Research Center
Method For Making Measurements Of The Post-Combustion Residence Time In A Gas Turbine Engine,Chemical Sciences,NASA Glenn Research Center
Temperature Sensitive Coating Sensor Based On Hematite,Sensors,NASA Glenn Research Center
Selenium Interlayer for High-efficiency Multijunction Solar Cell,Chemical Sciences,NASA Glenn Research Center
Processing of Nanosensors Using a Sacrificial Template Approach,Sensors,NASA Glenn Research Center
"Compact, Lightweight, CMC (Ceramic Matrix Composite)-Based Acoustic Liner for Subsonic Jet Aircraft Engines--Offering High Temperature Capability, Weight Reduction, and Broadband Acoustic Treatment",Chemical Sciences,NASA Glenn Research Center
Integrated Temperature and Capacitive Ablation Recession Rate Sensors,Sensors,NASA Glenn Research Center
"Method to Pre-Stress Shock Resistant Mechanical Components and Mechanisms made from Hard, Highly Elastic Materials",Physical Sciences,NASA Glenn Research Center
Method to Increase Performance of Foil Bearings Through Passive Thermal Management,Physical Sciences,NASA Glenn Research Center
"High Speed, Compliant, Planetary Flywheel Touchdown Bearing",Physical Sciences,NASA Glenn Research Center
"Alpha-STREAM Convertor - A Stirling Engine with no moving parts, eliminated streaming losses, high efficiency, low cost fabrication, and electronic wave modulation.",Chemical Sciences,NASA Glenn Research Center
Sampling and Control Circuit Board for an Inertial Measurement Unit,Physical Sciences,NASA Glenn Research Center
High Speed Edge Detecting Circuit For Use With Linear Image Sensor,Sensors,NASA Glenn Research Center
Dopant Selective Reactive Ion Etching of Silicon Carbide,Chemical Sciences,NASA Glenn Research Center
Planar Modular Package,Physical Sciences,NASA Glenn Research Center
Porous Cross-Linked Polyimide-UREA Networks,Chemical Sciences,NASA Glenn Research Center
In-Situ  Solid Particle Generator,Physical Sciences,NASA Glenn Research Center
Electrospun Nanofiber Coating Of Fiber Materials:  A Composite Toughening Approach,Chemical Sciences,NASA Glenn Research Center
Paired Threaded Film Cooling Holes for Improved Turbine Film Cooling,Physical Sciences,NASA Glenn Research Center
V-Cess: A Novel Flow Control Method Using A Shaped Recess,Other,NASA Glenn Research Center
Cascading TESLA oscillating  flow diode for Stirling Engine Gas Bearings,Physical Sciences,NASA Glenn Research Center
Polyimide Aerogel Thin Films,Materials,NASA Glenn Research Center
High Temperature Single Crystal Preloader,Chemical Sciences,NASA Glenn Research Center
Fuzzy Neuron:  Method and Hardware Realization,Chemical Sciences,NASA Glenn Research Center
High Speed Idle Engine Control Mode,Physical Sciences,NASA Glenn Research Center
Suppression Of Unwanted Noise And Howl In A Test Configuration Where A Jet Exhaust Is Discharged Into A Duct,Chemical Sciences,NASA Glenn Research Center
G6 Flywheel Design,Physical Sciences,NASA Glenn Research Center
Novel Aerogel-Based Antennas (ABA) for Aerospace Applications,Materials,NASA Glenn Research Center
Analog Correlator Based on One Bit Digital Correlator,Technology,NASA Glenn Research Center
Modeling and Simulation of a Solar Electric Propulsion Vehicle in Near-Earth Vicinity Including Solar Array Degradation,Chemical Sciences,NASA Glenn Research Center
Wireless Controlled Chalcogenide Nanoionic Radio Frequency Switch,Chemical Sciences,NASA Glenn Research Center
New Power Source For Deep Space Missions- Utilizing The Doubly Exothermic Reaction Between Deuterium And Palladium To Produce Electrical Power,Chemical Sciences,NASA Glenn Research Center
Conditionally Active Min-Max Limit Regulators,Chemical Sciences,NASA Glenn Research Center
"Magnetostrictive Alternator - Low cost, No moving part, High Efficiency, Oscillating Acoustic Pressure Wave to Electric Power Transducer",Physical Sciences,NASA Glenn Research Center
Adaptive Phase Delay Generator,Chemical Sciences,NASA Glenn Research Center
